2025-01-29 14:04:28 - $GPCHC,2351,299079.00,0.00,0.26,1.73,0.45,-0.10,0.08,-0.0302,0.0045,0.9996,38.69227427,35.62009614,1423.86,-0.145,0.310,-0.322,0.343,15,0,61,0,0002*66


2025-01-29 14:04:29 - $GPCHC,2351,299080.00,0.00,0.26,1.74,0.45,-0.09,0.04,-0.0303,0.0045,0.9988,38.69226445,35.62007339,1422.26,-0.358,0.370,-0.199,0.515,15,0,61,0,0002*68


2025-01-29 14:04:30 - $GPCHC,2351,299081.00,0.00,0.26,1.74,0.50,-0.09,0.07,-0.0304,0.0045,0.9988,38.69226204,35.62005905,1420.01,0.033,-0.346,0.353,0.347,15,0,61,0,0002*49


2025-01-29 14:04:31 - $GPCHC,2351,299082.00,0.00,0.24,1.73,0.48,-0.12,0.06,-0.0301,0.0042,0.9993,38.69223759,35.62009649,1424.61,0.079,-0.135,0.305,0.156,16,0,61,0,0002*4E


2025-01-29 14:04:32 - $GPCHC,2351,299083.00,0.00,0.25,1.71,0.48,-0.09,0.05,-0.0298,0.0043,0.9992,38.69219709,35.62012591,1423.00,0.153,-0.199,0.260,0.251,13,0,61,0,0002*48


2025-01-29 14:04:33 - $GPCHC,2351,299084.00,0.00,0.25,1.73,0.46,-0.10,0.07,-0.0302,0.0043,0.9994,38.69219709,35.62012591,1423.00,0.153,-0.199,0.260,0.251,11,0,61,0,0002*4F


2025-01-29 14:04:34 - $GPCHC,2351,299085.00,0.00,0.24,1.72,0.50,-0.12,0.05,-0.0301,0.0042,0.9993,0.00000000,0.00000000,0.00,0.000,0.000,0.000,0.000,14,0,00,0,0002*5F


2025-01-29 14:04:35 - $GPCHC,2351,299086.00,0.00,0.26,1.72,0.49,-0.09,0.05,-0.0299,0.0045,0.9993,0.00000000,0.00000000,0.00,0.000,0.000,0.000,0.000,14,0,00,0,0002*5B


2025-01-29 14:04:36 - $GPCHC,2351,299087.00,0.00,0.25,1.73,0.48,-0.12,-0.01,-0.0301,0.0043,0.9995,0.00000000,0.00000000,0.00,0.000,0.000,0.000,0.000,14,0,00,0,0002*7A


2025-01-29 14:04:37 - $GPCHC,2351,299088.00,0.00,0.25,1.73,0.51,-0.07,0.09,-0.0301,0.0043,0.9993,0.00000000,0.00000000,0.00,0.000,0.000,0.000,0.000,12,0,00,0,0002*5C


2025-01-29 14:04:38 - $GPCHC,2351,299089.00,0.00,0.25,1.74,0.46,-0.12,0.05,-0.0304,0.0043,0.9995,0.00000000,0.00000000,0.00,0.000,0.000,0.000,0.000,14,0,00,0,0002*51


